batter_id,batter_name,year,team,avg,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,career,starting_salary,OPS,born_year,born_month,born_day,position_1,position_2,position_3,height,weight,hw_ratio,start_year,n_year,age
0,가르시아,2018,LG,0.35,7,20,1,7,1,0,1,11,5,0,0,2,0,3,1,0.55,0.409,1,쿠바 Ciego de Avila Maximo Gomez Baez(대),NA,0.9590000000000001,1985,4,12,내야수,우투,우타,177,93,0.5254237288135594,2018,1,33
1,강경학,2011,한화,0,4,2,2,0,0,0,0,0,1,0,1,0,2,1,0,0,0.5,0,광주대성초-광주동성중-광주동성고,10000,0.5,1992,8,11,내야수,우투,좌타,180,72,0.4,2011,1,19
1,강경학,2014,한화,NA,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,광주대성초-광주동성중-광주동성고,10000,NA,1992,8,11,내야수,우투,좌타,180,72,0.4,2011,4,22
1,강경학,2015,한화,0.13,10,23,3,3,0,0,0,3,1,3,0,4,1,9,0,0.13,0.28600000000000003,2,광주대성초-광주동성중-광주동성고,10000,0.416,1992,8,11,내야수,우투,좌타,180,72,0.4,2011,5,23
1,강경학,2016,한화,0.188,14,32,4,6,1,1,0,9,2,1,2,0,1,10,0,0.281,0.212,0,광주대성초-광주동성중-광주동성고,10000,0.493,1992,8,11,내야수,우투,좌타,180,72,0.4,2011,6,24
1,강경학,2017,한화,0.222,11,36,10,8,0,0,2,14,4,0,0,3,0,10,0,0.389,0.282,1,광주대성초-광주동성중-광주동성고,10000,0.6709999999999999,1992,8,11,내야수,우투,좌타,180,72,0.4,2011,7,25
2,강구성,2013,NC,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,관산초-부천중-야탑고-NC-상무,9000,0,1993,6,9,외야수,우투,좌타,180,82,0.45555555555555555,2013,1,20
2,강구성,2016,NC,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.5,0,관산초-부천중-야탑고-NC-상무,9000,0.5,1993,6,9,외야수,우투,좌타,180,82,0.45555555555555555,2013,4,23
2,강구성,2017,NC,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,관산초-부천중-야탑고-NC-상무,9000,2,1993,6,9,외야수,우투,좌타,180,82,0.45555555555555555,2013,5,24
69,김태완,2006,한화,0.2,10,15,0,3,0,0,0,3,3,0,0,1,1,5,1,0.2,0.278,0,양목초-신월중-중앙고-성균관대-한화,11000,0.478,1984,1,27,내야수,우투,우타,189,105,0.5555555555555556,2006,1,22
69,김태완,2007,한화,0.318,8,22,4,7,3,0,3,19,7,0,0,4,0,4,0,0.8640000000000001,0.423,0,양목초-신월중-중앙고-성균관대-한화,11000,1.287,1984,1,27,내야수,우투,우타,189,105,0.5555555555555556,2006,2,23
69,김태완,2008,한화,0.375,10,24,3,9,1,0,1,13,3,0,0,2,1,2,2,0.542,0.444,0,양목초-신월중-중앙고-성균관대-한화,11000,0.986,1984,1,27,내야수,우투,우타,189,105,0.5555555555555556,2006,3,24
69,김태완,2009,한화,0.32,10,25,5,8,3,0,1,14,6,0,0,6,0,2,1,0.56,0.452,1,양목초-신월중-중앙고-성균관대-한화,11000,1.012,1984,1,27,내야수,우투,우타,189,105,0.5555555555555556,2006,4,25
69,김태완,2010,한화,0.4,2,5,2,2,0,1,0,4,1,0,0,0,0,1,0,0.8,0.4,1,양목초-신월중-중앙고-성균관대-한화,11000,1.2000000000000002,1984,1,27,내야수,우투,우타,189,105,0.5555555555555556,2006,5,26
69,김태완,2013,한화,0.25,9,28,3,7,0,0,0,7,1,0,0,7,1,5,1,0.25,0.417,0,양목초-신월중-중앙고-성균관대-한화,11000,0.667,1984,1,27,내야수,우투,우타,189,105,0.5555555555555556,2006,8,29
69,김태완,2014,한화,0.125,10,16,1,2,0,0,0,2,1,0,0,3,0,4,0,0.125,0.263,0,양목초-신월중-중앙고-성균관대-한화,11000,0.388,1984,1,27,내야수,우투,우타,189,105,0.5555555555555556,2006,9,30
69,김태완,2016,한화,0,3,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.25,0,양목초-신월중-중앙고-성균관대-한화,11000,0.25,1984,1,27,내야수,우투,우타,189,105,0.5555555555555556,2006,11,32
69,김태완,2017,넥센,0.37,12,27,2,10,1,0,1,14,14,0,0,2,0,8,1,0.519,0.364,1,양목초-신월중-중앙고-성균관대-한화,11000,0.883,1984,1,27,내야수,우투,우타,189,105,0.5555555555555556,2006,12,33
69,김태완,2018,넥센,0.375,5,8,2,3,1,0,1,7,3,0,0,2,0,3,0,0.875,0.5,0,양목초-신월중-중앙고-성균관대-한화,11000,1.375,1984,1,27,내야수,우투,우타,189,105,0.5555555555555556,2006,13,34
3,강민국,2014,NC,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,송정동초-충장중-광주제일고-동국대-NC-상무,20000,0,1992,1,10,내야수,우투,우타,176,80,0.45454545454545453,2014,1,22
3,강민국,2015,NC,0.1,9,10,2,1,1,0,0,2,0,0,0,0,0,4,0,0.2,0.1,0,송정동초-충장중-광주제일고-동국대-NC-상무,20000,0.30000000000000004,1992,1,10,내야수,우투,우타,176,80,0.45454545454545453,2014,2,23
3,강민국,2016,NC,0.316,16,19,2,6,2,1,0,10,0,0,0,2,0,4,0,0.526,0.381,0,송정동초-충장중-광주제일고-동국대-NC-상무,20000,0.907,1992,1,10,내야수,우투,우타,176,80,0.45454545454545453,2014,3,24
4,강민호,2005,롯데,0.25,11,20,2,5,4,0,0,9,2,0,1,0,0,6,0,0.45,0.25,0,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000,0.7,1985,8,18,포수,우투,우타,185,100,0.5405405405405406,2005,1,20
4,강민호,2006,롯데,0.381,9,21,6,8,1,1,2,17,7,0,0,1,0,5,1,0.81,0.391,0,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000,1.2009999999999998,1985,8,18,포수,우투,우타,185,100,0.5405405405405406,2005,2,21
4,강민호,2007,롯데,0.136,10,22,2,3,0,0,0,3,2,0,0,0,1,6,1,0.136,0.174,0,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000,0.31,1985,8,18,포수,우투,우타,185,100,0.5405405405405406,2005,3,22
4,강민호,2008,롯데,0.2,5,10,0,2,1,0,0,3,2,0,0,0,1,2,0,0.3,0.273,0,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000,0.573,1985,8,18,포수,우투,우타,185,100,0.5405405405405406,2005,4,23
4,강민호,2009,롯데,0.167,2,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0.16699999999999998,0.16699999999999998,0,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000,0.334,1985,8,18,포수,우투,우타,185,100,0.5405405405405406,2005,5,24
4,강민호,2010,롯데,0.261,10,23,8,6,1,0,4,19,8,0,0,5,1,3,0,0.826,0.414,0,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000,1.24,1985,8,18,포수,우투,우타,185,100,0.5405405405405406,2005,6,25
4,강민호,2011,롯데,0.353,13,34,4,12,3,0,2,21,11,0,0,4,0,6,3,0.618,0.4,0,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000,1.018,1985,8,18,포수,우투,우타,185,100,0.5405405405405406,2005,7,26
4,강민호,2012,롯데,0.273,5,11,2,3,0,0,0,3,1,0,1,0,0,2,0,0.273,0.273,0,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000,0.546,1985,8,18,포수,우투,우타,185,100,0.5405405405405406,2005,8,27
4,강민호,2013,롯데,0.333,6,15,2,5,1,0,1,9,4,0,0,0,2,5,0,0.6,0.389,0,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000,0.989,1985,8,18,포수,우투,우타,185,100,0.5405405405405406,2005,9,28
4,강민호,2014,롯데,0.1,8,10,1,1,0,0,0,1,0,0,0,6,1,3,1,0.1,0.471,0,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000,0.5710000000000001,1985,8,18,포수,우투,우타,185,100,0.5405405405405406,2005,10,29
