batter_id,batter_name,year,team,avg,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,career,starting_salary,OPS,born_year,born_month,born_day,position_1,position_2,position_3,height,weight,hw_ratio,start_year,n_year,age
0,가르시아,2018,LG,0.339,50,183,27,62,9,0,8,95,34,5,0,9,8,25,3,0.519,0.383,9,쿠바 Ciego de Avila Maximo Gomez Baez(대),NA,0.902,1985,4,12,내야수,우투,우타,177,93,0.5254237288135594,2018,1,33
1,강경학,2011,한화,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,광주대성초-광주동성중-광주동성고,10000,0,1992,8,11,내야수,우투,좌타,180,72,0.4,2011,1,19
1,강경학,2014,한화,0.221,41,86,11,19,2,3,1,30,7,0,0,13,2,28,1,0.349,0.337,6,광주대성초-광주동성중-광주동성고,10000,0.6859999999999999,1992,8,11,내야수,우투,좌타,180,72,0.4,2011,4,22
1,강경학,2015,한화,0.257,120,311,50,80,7,4,2,101,27,4,3,40,5,58,3,0.325,0.348,15,광주대성초-광주동성중-광주동성고,10000,0.6729999999999999,1992,8,11,내야수,우투,좌타,180,72,0.4,2011,5,23
1,강경학,2016,한화,0.158,46,101,16,16,3,2,1,26,7,0,0,8,2,30,5,0.257,0.232,7,광주대성초-광주동성중-광주동성고,10000,0.489,1992,8,11,내야수,우투,좌타,180,72,0.4,2011,6,24
1,강경학,2017,한화,0.214,59,84,17,18,2,1,0,22,4,1,1,8,1,19,1,0.262,0.29,4,광주대성초-광주동성중-광주동성고,10000,0.552,1992,8,11,내야수,우투,좌타,180,72,0.4,2011,7,25
1,강경학,2018,한화,0.278,77,245,42,68,11,1,5,96,27,6,3,38,4,59,7,0.392,0.382,2,광주대성초-광주동성중-광주동성고,10000,0.774,1992,8,11,내야수,우투,좌타,180,72,0.4,2011,8,26
2,강구성,2013,NC,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,관산초-부천중-야탑고-NC-상무,9000,0,1993,6,9,외야수,우투,좌타,180,82,0.45555555555555555,2013,1,20
2,강구성,2015,NC,0.2,4,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0.4,0.2,0,관산초-부천중-야탑고-NC-상무,9000,0.6000000000000001,1993,6,9,외야수,우투,좌타,180,82,0.45555555555555555,2013,3,22
2,강구성,2016,NC,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,관산초-부천중-야탑고-NC-상무,9000,0,1993,6,9,외야수,우투,좌타,180,82,0.45555555555555555,2013,4,23
2,강구성,2017,NC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,관산초-부천중-야탑고-NC-상무,9000,0,1993,6,9,외야수,우투,좌타,180,82,0.45555555555555555,2013,5,24
2,강구성,2018,NC,0.2,4,5,0,1,1,0,0,2,1,0,0,0,0,3,0,0.4,0.2,0,관산초-부천중-야탑고-NC-상무,9000,0.6000000000000001,1993,6,9,외야수,우투,좌타,180,82,0.45555555555555555,2013,6,25
138,백승룡,2005,한화,0.127,39,63,9,8,2,0,0,10,3,1,2,7,4,15,1,0.15873015873015872,0.25675675675675674,3,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,NA,0.41548691548691546,1982,8,16,NA,NA,NA,NA,NA,NA,2005,1,23
138,백승룡,2006,한화,0.139,37,36,6,5,2,0,0,7,0,1,0,8,2,14,0,0.19444444444444445,0.32608695652173914,4,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,NA,0.5205314009661836,1982,8,16,NA,NA,NA,NA,NA,NA,2005,2,24
138,백승룡,2007,한화,0,8,4,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,NA,0,1982,8,16,NA,NA,NA,NA,NA,NA,2005,3,25
138,백승룡,2008,한화,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,NA,0,1982,8,16,NA,NA,NA,NA,NA,NA,2005,4,26
138,백승룡,2011,한화,0.17600000000000002,38,51,7,9,2,0,0,11,3,1,1,7,2,13,1,0.215686274509804,0.3,0,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,NA,0.5156862745098039,1982,8,16,NA,NA,NA,NA,NA,NA,2005,7,29
138,백승룡,2012,한화,0.231,33,52,3,12,1,0,0,13,3,3,0,6,3,20,0,0.25,0.3442622950819672,1,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,NA,0.5942622950819672,1982,8,16,NA,NA,NA,NA,NA,NA,2005,8,30
138,백승룡,2013,한화,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,NA,NA,1982,8,16,NA,NA,NA,NA,NA,NA,2005,9,31
297,진갑용,1997,OB,0.242,95,281,21,68,7,0,4,87,20,2,0,20,6,44,7,0.3096085409252669,0.30618892508143325,6,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.6157974660067002,1974,5,8,NA,NA,NA,NA,NA,NA,1997,1,23
297,진갑용,1998,OB,0.269,88,253,12,68,14,1,2,90,22,1,1,14,0,44,10,0.3557312252964427,0.30711610486891383,7,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.6628473301653566,1974,5,8,NA,NA,NA,NA,NA,NA,1997,2,24
297,진갑용,1999,삼성,0.212,68,156,13,33,3,0,4,48,17,0,2,10,2,29,7,0.3076923076923077,0.26785714285714285,7,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.5755494505494505,1974,5,8,NA,NA,NA,NA,NA,NA,1997,3,25
297,진갑용,2000,삼성,0.273,114,297,30,81,14,0,8,119,58,2,1,23,6,45,7,0.4006734006734007,0.3374233128834356,7,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.7380967135568363,1974,5,8,NA,NA,NA,NA,NA,NA,1997,4,26
297,진갑용,2001,삼성,0.306,89,314,54,96,25,2,7,146,57,2,3,23,7,37,4,0.4649681528662421,0.3662790697674417,4,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.8312472226336839,1974,5,8,NA,NA,NA,NA,NA,NA,1997,5,27
297,진갑용,2002,삼성,0.281,133,462,58,130,29,1,18,215,86,0,0,41,8,56,13,0.4653679653679654,0.350293542074364,11,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.8156615074423293,1974,5,8,NA,NA,NA,NA,NA,NA,1997,6,28
297,진갑용,2003,삼성,0.29,126,435,64,126,20,2,21,213,53,1,1,36,10,34,13,0.4896551724137931,0.3575883575883576,13,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.8472435300021507,1974,5,8,NA,NA,NA,NA,NA,NA,1997,7,29
297,진갑용,2004,삼성,0.278,129,439,60,122,20,0,24,214,71,0,0,34,12,51,16,0.4874715261958998,0.3463917525773196,5,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.8338632787732194,1974,5,8,NA,NA,NA,NA,NA,NA,1997,8,30
297,진갑용,2005,삼성,0.28800000000000003,110,347,34,100,17,0,6,135,41,1,1,36,8,47,8,0.3890489913544669,0.3682864450127877,6,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.7573354363672546,1974,5,8,NA,NA,NA,NA,NA,NA,1997,9,31
297,진갑용,2006,삼성,0.28800000000000003,110,358,28,103,22,0,6,143,47,1,2,29,5,37,18,0.3994413407821229,0.3494897959183674,4,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.7489311367004903,1974,5,8,NA,NA,NA,NA,NA,NA,1997,10,32
297,진갑용,2007,삼성,0.246,122,362,28,89,12,0,5,116,39,0,1,49,7,38,9,0.32044198895027626,0.34688995215311,4,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.6673319411033862,1974,5,8,NA,NA,NA,NA,NA,NA,1997,11,33
297,진갑용,2008,삼성,0.279,105,272,34,76,7,0,11,116,45,1,1,30,1,41,6,0.4264705882352941,0.35313531353135313,3,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.7796059017666472,1974,5,8,NA,NA,NA,NA,NA,NA,1997,12,34
297,진갑용,2009,삼성,0.232,57,142,10,33,3,1,3,47,20,1,2,15,4,23,5,0.3309859154929577,0.3229813664596273,2,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.653967281952585,1974,5,8,NA,NA,NA,NA,NA,NA,1997,13,35
297,진갑용,2010,삼성,0.263,100,259,36,68,8,0,10,106,28,0,0,45,2,57,7,0.4092664092664093,0.3758169934640523,4,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.7850834027304616,1974,5,8,NA,NA,NA,NA,NA,NA,1997,14,36
297,진갑용,2011,삼성,0.273,112,286,26,78,7,0,10,115,42,1,0,35,3,53,10,0.4020979020979021,0.3580246913580247,6,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.7601225934559268,1974,5,8,NA,NA,NA,NA,NA,NA,1997,15,37
297,진갑용,2012,삼성,0.307,114,313,27,96,15,1,6,131,57,0,0,17,7,46,6,0.4185303514376997,0.3560830860534125,3,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.7746134374911122,1974,5,8,NA,NA,NA,NA,NA,NA,1997,16,38
297,진갑용,2013,삼성,0.271,101,181,22,49,9,0,6,76,36,0,0,12,5,28,5,0.4198895027624309,0.3333333333333333,4,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.7532228360957642,1974,5,8,NA,NA,NA,NA,NA,NA,1997,17,39
297,진갑용,2014,삼성,0.412,11,17,2,7,0,0,0,7,4,0,0,0,0,1,0,0.4117647058823529,0.4117647058823529,1,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.8235294117647058,1974,5,8,NA,NA,NA,NA,NA,NA,1997,18,40
297,진갑용,2015,삼성,0.324,39,68,8,22,2,0,3,33,10,0,0,4,0,9,3,0.4852941176470588,0.3611111111111111,0,하단초-초량중-부산고-고려대-OB-두산-삼성,NA,0.8464052287581699,1974,5,8,NA,NA,NA,NA,NA,NA,1997,19,41
3,강민국,2014,NC,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,송정동초-충장중-광주제일고-동국대-NC-상무,20000,0,1992,1,10,내야수,우투,우타,176,80,0.45454545454545453,2014,1,22
3,강민국,2015,NC,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,송정동초-충장중-광주제일고-동국대-NC-상무,20000,0,1992,1,10,내야수,우투,우타,176,80,0.45454545454545453,2014,2,23
